Team,GP,W,D,L,GF,GA,GD,PPG,CS,FTS
Manchester City,13,8,5,0,32,5,27,2.23,0.62,0.15
Real Madrid,12,8,2,2,26,13,13,2.17,0.42,0.08
Bayern Munich,10,8,1,1,22,6,16,2.5,0.7,0.1
Inter Milan,13,7,3,3,19,11,8,1.85,0.62,0.31
Napoli,10,7,1,2,26,8,18,2.2,0.4,0.2
Benfica,10,6,3,1,26,13,13,2.1,0.2,0.1
AC Milan,12,5,3,4,15,11,4,1.5,0.42,0.42
Chelsea,10,5,1,4,12,9,3,1.6,0.3,0.4
Liverpool,8,5,0,3,19,12,7,1.88,0.38,0.12
Paris SG,8,4,2,2,16,10,6,1.75,0.0,0.25
FC Porto,8,4,1,3,12,8,4,1.63,0.5,0.38
RB Leipzig,8,4,1,3,14,17,-3,1.63,0.25,0.25
Dortmund,8,3,3,2,11,7,4,1.5,0.38,0.25
Tottenham,8,3,3,2,8,7,1,1.5,0.38,0.5
Club Brugge,8,3,2,3,8,11,-3,1.38,0.62,0.5
E. Frankfurt,8,3,1,4,7,13,-6,1.25,0.25,0.5
FC Barcelona,6,2,1,3,12,12,0,1.17,0.0,0.5
Sporting CP,6,2,1,3,8,9,-1,1.17,0.33,0.17
Marseille,6,2,0,4,8,8,0,1.0,0.17,0.33
Shakhtar,6,1,3,2,8,10,-2,1.0,0.0,0.17
Salzburg,6,1,3,2,5,9,-4,1.0,0.17,0.17
Ajax Amsterdam,6,2,0,4,11,16,-5,1.0,0.17,0.17
Atletico Madrid,6,1,2,3,5,9,-4,0.83,0.17,0.5
Leverkusen,6,1,2,3,4,8,-4,0.83,0.33,0.67
Sevilla FC,6,1,2,3,6,12,-6,0.83,0.33,0.33
Dinamo Zagreb,6,1,1,4,4,11,-7,0.67,0.17,0.33
Juventus,6,1,0,5,9,13,-4,0.5,0.0,0.17
FC Kobenhavn,6,0,3,3,1,12,-11,0.5,0.33,0.83
Maccabi Haifa,6,1,0,5,7,21,-14,0.5,0.17,0.17
Celtic,6,0,2,4,4,15,-11,0.33,0.0,0.33
Viktoria Plzen,6,0,0,6,5,24,-19,0.0,0.0,0.5
Rangers,6,0,0,6,2,22,-20,0.0,0.0,0.67
